55;4831287;Avenida Santiago Antunez de Mayolo;31045013;1359115561;65;99;0.0654388;60;11;1000000;-11.9968748;-77.087349;-11.9966924;-77.08678
56;4831287;Avenida Santiago Antunez de Mayolo;1359115561;1359115602;65;45;0.0381464;60;7;1000000;-11.9966924;-77.08678;-11.9966122;-77.086439
57;4831287;Avenida Santiago Antunez de Mayolo;1359115602;1359115529;65;102;0.1006815;60;17;1000000;-11.9966122;-77.086439;-11.996372;-77.0855465
58;4831299;Avenida Las Palmeras;31069262;31069291;51;12;0.0109002;60;2;1000000;-11.9663497;-77.067724;-11.9663706;-77.0678219
59;4831299;Avenida Las Palmeras;31069291;769214459;51;76;0.0424051;60;8;1000000;-11.9663706;-77.0678219;-11.9664292;-77.0682071
60;4831299;Avenida Las Palmeras;769214459;273424032;51;4;0.2285899;60;39;1000000;-11.9664292;-77.0682071;-11.9670433;-77.0701972
61;4831340;Avenida Los Dominicos;31069517;1359117002;53;57;0.0502971;60;9;1000000;-12.0109233;-77.0965156;-12.0105396;-77.0967605
62;4831340;Avenida Los Dominicos;1359117002;31069529;53;61;0.051827;60;9;1000000;-12.0105396;-77.0967605;-12.0101442;-77.0970128
63;4831340;Avenida Los Dominicos;31069529;1359116929;53;34;0.1029936;60;18;1000000;-12.0101442;-77.0970128;-12.0093114;-77.0974273
64;4831340;Avenida Los Dominicos;1359116929;31069530;53;44;0.2305176;60;39;1000000;-12.0093114;-77.0974273;-12.0074505;-77.0983614
65;4831356;Alejandro Bertello Bollati;31069687;273431185;8;48;0.0201927;60;4;1000000;-12.0099008;-77.1062857;-12.010065;-77.1062064
66;4831356;Alejandro Bertello Bollati;848395726;848395702;8;7;0.0378739;60;7;1000000;-12.0261709;-77.0982053;-12.0264774;-77.0980534
67;4831356;Alejandro Bertello Bollati;848395702;848395699;8;102;0.1310483;60;22;1000000;-12.0264774;-77.0980534;-12.0275364;-77.0975246
68;4831356;Alejandro Bertello Bollati;848395709;848395716;8;71;0.0396892;60;7;1000000;-12.0286423;-77.0970033;-12.028957;-77.0968311
69;4831356;Alejandro Bertello Bollati;848395716;1273841070;8;10;0.0939459;60;16;1000000;-12.028957;-77.0968311;-12.0295742;-77.0962471
70;4831356;Alejandro Bertello Bollati;1273841070;603757967;8;103;0.1941828;60;33;1000000;-12.0295742;-77.0962471;-12.0300847;-77.0945659
71;4831397;Avenida  Peru;31069890;885686003;94;39;0.3145047;60;53;1000000;-12.0319298;-77.0770824;-12.0319644;-77.074192
72;4831397;Avenida  Peru;885686003;885686041;94;40;0.1371474;60;23;1000000;-12.0319644;-77.074192;-12.031966;-77.0729309
73;4831397;Avenida  Peru;885686041;885686039;94;18;0.1841093;60;31;1000000;-12.031966;-77.0729309;-12.0319458;-77.0712381
74;4831397;Avenida  Peru;885686039;885686054;94;24;0.0829404;60;14;1000000;-12.0319458;-77.0712381;-12.0319368;-77.0704755
75;4832867;Abancay;563843254;1354143297;1;65;0.1279921;70;19;1000000;-12.0578131;-77.0301105;-12.058955;-77.0299623
76;4832867;Abancay;31080125;31080118;1;83;0.2251681;30;76;1000000;-12.044841;-77.0250477;-12.0430329;-77.0241154
77;4832867;Abancay;885799716;1830374075;1;6;0.0130093;70;2;1000000;-12.0544255;-77.0302787;-12.0545295;-77.0303335
78;4832867;Abancay;1830374075;31080129;1;30;0.0471199;70;7;1000000;-12.0545295;-77.0303335;-12.0549368;-77.0304515
79;4832867;Abancay;31080129;1830390035;1;68;0.1960564;70;29;1000000;-12.0549368;-77.0304515;-12.056688;-77.0302566
80;4832867;Abancay;1830390035;563843254;1;18;0.1261101;70;19;1000000;-12.056688;-77.0302566;-12.0578131;-77.0301105
81;4832890;Avenida Universitaria;1258298580;1305701554;70;83;1.1830756;70;170;1000000;-11.9151397;-77.047991;-11.9248988;-77.0520285
82;4832890;Avenida Universitaria;273350406;273405235;70;47;0.1940214;70;28;1000000;-11.9625778;-77.0689905;-11.9630831;-77.0706857
83;4832890;Avenida Universitaria;273405235;273403746;70;94;0.1336391;70;20;1000000;-11.9630831;-77.0706857;-11.9636999;-77.0717401
84;4832890;Avenida Universitaria;273403746;273403602;70;6;0.0128451;70;2;1000000;-11.9636999;-77.0717401;-11.9637728;-77.0718317
85;4832890;Avenida Universitaria;273403602;273350286;70;20;0.1287947;70;19;1000000;-11.9637728;-77.0718317;-11.9644884;-77.0727621
86;4832972;Avenida Tomas Valle;31069560;1842440031;68;11;0.0777005;70;12;1000000;-12.0222867;-77.1057063;-12.0217377;-77.1053966
87;4832972;Avenida Tomas Valle;1842440031;599289764;68;57;0.0688837;70;10;1000000;-12.0217377;-77.1053966;-12.0214682;-77.1048263
88;4832972;Avenida Tomas Valle;599289764;31069688;68;90;0.4166511;70;60;1000000;-12.0214682;-77.1048263;-12.0197945;-77.1013987
89;4832972;Avenida Tomas Valle;31069688;31069656;68;86;0.0322878;70;5;1000000;-12.0197945;-77.1013987;-12.0196318;-77.1011528
90;4832972;Avenida Tomas Valle;769223700;769223685;68;65;0.0185328;70;3;1000000;-12.017034;-77.0983622;-12.0169013;-77.0982591
